Topic,Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Ref_group,National Reference
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 1,2015,Estimated,6.674,8248375,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,Rural,49.22
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban Age Group 2,2015,Estimated,85.47,105632094,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,Urban,62.97
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 2,2015,Estimated,73.63,90999077,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,Rural,49.22
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban Age Group 3,2015,Estimated,33.33,41192438,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,Urban,62.97
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 3,2015,Estimated,21.52,26596498,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,Rural,49.22
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban Age Group 4,2015,Estimated,14.98,18513733,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,Urban,62.97
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 4,2015,Estimated,5.41,6686201,viz_age_area,Percentage currently taking statins to prevent or treat heart disease,Rural,49.22
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Total,Total,2015,Lower Bound,80.48,99464970,,,"",
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex,Men,2015,Lower Bound,19.35,23914602,,,Total,80.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex,Women,2015,Lower Bound,83.77,103531070,,,Total,80.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,Age Group 1,2015,Lower Bound,53.21,65762066,,,Total,80.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,Age Group 2,2015,Lower Bound,62.97,77824418,,,Total,80.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,Age Group 3,2015,Lower Bound,49.22,60830838,,,Total,80.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,Age Group 4,2015,Lower Bound,6.674,8248375,,,Total,80.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Area,Urban,2015,Lower Bound,85.47,105632094,,,Total,80.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Area,Rural,2015,Lower Bound,73.63,90999077,,,Total,80.48
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Women Age Group 1,2015,Lower Bound,33.33,41192438,,,Women,83.77
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Women Age Group 2,2015,Lower Bound,21.52,26596498,,,Women,83.77
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Women Age Group 3,2015,Lower Bound,14.98,18513733,,,Women,83.77
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Women Age Group 4,2015,Lower Bound,5.41,6686201,,,Women,83.77
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Men Age Group 1,2015,Lower Bound,80.48,99464970,,,Men,19.35
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Men Age Group 2,2015,Lower Bound,19.35,23914602,,,Men,19.35
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Men Age Group 3,2015,Lower Bound,83.77,103531070,,,Men,19.35
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Men Age Group 4,2015,Lower Bound,53.21,65762066,,,Men,19.35
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Area,Urban Men,2015,Lower Bound,62.97,77824418,,,Men,19.35
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Area,Rural Men,2015,Lower Bound,49.22,60830838,,,Men,19.35
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Area,Urban Women,2015,Lower Bound,6.674,8248375,,,Women,83.77
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Area,Rural Women,2015,Lower Bound,85.47,105632094,,,Women,83.77
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban Age Group 1,2015,Lower Bound,73.63,90999077,,,Urban,85.47
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 1,2015,Lower Bound,33.33,41192438,,,Rural,73.63
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban Age Group 2,2015,Lower Bound,21.52,26596498,,,Urban,85.47
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 2,2015,Lower Bound,14.98,18513733,,,Rural,73.63
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban Age Group 3,2015,Lower Bound,5.41,6686201,,,Urban,85.47
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 3,2015,Lower Bound,80.48,99464970,,,Rural,73.63
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban Age Group 4,2015,Lower Bound,19.35,23914602,,,Urban,85.47
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 4,2015,Lower Bound,83.77,103531070,,,Rural,73.63
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Total,Total,2015,Upper Bound,53.21,65762066,,,"",
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex,Men,2015,Upper Bound,62.97,77824418,,,Total,53.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex,Women,2015,Upper Bound,49.22,60830838,,,Total,53.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,Age Group 1,2015,Upper Bound,6.674,8248375,,,Total,53.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,Age Group 2,2015,Upper Bound,85.47,105632094,,,Total,53.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,Age Group 3,2015,Upper Bound,73.63,90999077,,,Total,53.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age,Age Group 4,2015,Upper Bound,33.33,41192438,,,Total,53.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Area,Urban,2015,Upper Bound,21.52,26596498,,,Total,53.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Area,Rural,2015,Upper Bound,14.98,18513733,,,Total,53.21
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Women Age Group 1,2015,Upper Bound,5.41,6686201,,,Women,49.22
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Women Age Group 2,2015,Upper Bound,80.48,99464970,,,Women,49.22
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Women Age Group 3,2015,Upper Bound,19.35,23914602,,,Women,49.22
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Women Age Group 4,2015,Upper Bound,83.77,103531070,,,Women,49.22
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Men Age Group 1,2015,Upper Bound,53.21,65762066,,,Men,62.97
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Men Age Group 2,2015,Upper Bound,62.97,77824418,,,Men,62.97
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Men Age Group 3,2015,Upper Bound,49.22,60830838,,,Men,62.97
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Age,Men Age Group 4,2015,Upper Bound,6.674,8248375,,,Men,62.97
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Area,Urban Men,2015,Upper Bound,85.47,105632094,,,Men,62.97
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Area,Rural Men,2015,Upper Bound,73.63,90999077,,,Men,62.97
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Area,Urban Women,2015,Upper Bound,33.33,41192438,,,Women,49.22
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Sex by Area,Rural Women,2015,Upper Bound,21.52,26596498,,,Women,49.22
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban Age Group 1,2015,Upper Bound,14.98,18513733,,,Urban,21.52
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 1,2015,Upper Bound,5.41,6686201,,,Rural,14.98
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban Age Group 2,2015,Upper Bound,80.48,99464970,,,Urban,21.52
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 2,2015,Upper Bound,19.35,23914602,,,Rural,14.98
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban Age Group 3,2015,Upper Bound,83.77,103531070,,,Urban,21.52
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 3,2015,Upper Bound,53.21,65762066,,,Rural,14.98
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Urban Age Group 4,2015,Upper Bound,62.97,77824418,,,Urban,21.52
Cardiovascular disease and cancer,Percentage currently taking statins to prevent or treat heart disease,Taking statins,Age by Area,Rural Age Group 4,2015,Lower Bound,49.22,60830838,,,Rural,73.63
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Total,Total,2015,Estimated,6.674,8248375,viz_total,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,"",
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex,Men,2015,Estimated,85.47,105632094,viz_sex,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Total,6.674
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex,Women,2015,Estimated,73.63,90999077,viz_sex,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Total,6.674
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 1,2015,Estimated,33.33,41192438,viz_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Total,6.674
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 2,2015,Estimated,21.52,26596498,viz_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Total,6.674
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 3,2015,Estimated,14.98,18513733,viz_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Total,6.674
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 4,2015,Estimated,5.41,6686201,viz_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Total,6.674
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Area,Urban,2015,Estimated,80.48,99464970,viz_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Total,6.674
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Area,Rural,2015,Estimated,19.35,23914602,viz_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Total,6.674
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 1,2015,Estimated,83.77,103531070,viz_women_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Women,73.63
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 2,2015,Estimated,53.21,65762066,viz_women_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Women,73.63
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 3,2015,Estimated,62.97,77824418,viz_women_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Women,73.63
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 4,2015,Estimated,49.22,60830838,viz_women_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Women,73.63
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Men Age Group 1,2015,Estimated,6.674,8248375,viz_men_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Men,85.47
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Men Age Group 2,2015,Estimated,85.47,105632094,viz_men_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Men,85.47
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Men Age Group 3,2015,Estimated,73.63,90999077,viz_men_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Men,85.47
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Men Age Group 4,2015,Estimated,33.33,41192438,viz_men_age,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Men,85.47
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Area,Urban Men,2015,Estimated,21.52,26596498,viz_sex_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Men,85.47
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Area,Rural Men,2015,Estimated,14.98,18513733,viz_sex_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Men,85.47
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Area,Urban Women,2015,Estimated,5.41,6686201,viz_sex_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Women,73.63
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Area,Rural Women,2015,Estimated,80.48,99464970,viz_sex_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Women,73.63
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Urban Age Group 1,2015,Estimated,19.35,23914602,viz_age_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Urban,80.48
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Rural Age Group 1,2015,Estimated,83.77,103531070,viz_age_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Rural,19.35
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Urban Age Group 2,2015,Estimated,53.21,65762066,viz_age_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Urban,80.48
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Rural Age Group 2,2015,Estimated,62.97,77824418,viz_age_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Rural,19.35
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Urban Age Group 3,2015,Estimated,49.22,60830838,viz_age_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Urban,80.48
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Rural Age Group 3,2015,Estimated,6.674,8248375,viz_age_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Rural,19.35
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Urban Age Group 4,2015,Estimated,85.47,105632094,viz_age_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Urban,80.48
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Rural Age Group 4,2015,Estimated,73.63,90999077,viz_age_area,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Rural,19.35
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Total,Total,2015,Lower Bound,33.33,41192438,,,"",
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex,Men,2015,Lower Bound,21.52,26596498,,,Total,33.33
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex,Women,2015,Lower Bound,14.98,18513733,,,Total,33.33
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 1,2015,Lower Bound,5.41,6686201,,,Total,33.33
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 2,2015,Lower Bound,80.48,99464970,,,Total,33.33
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 3,2015,Lower Bound,19.35,23914602,,,Total,33.33
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 4,2015,Lower Bound,83.77,103531070,,,Total,33.33
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Area,Urban,2015,Lower Bound,53.21,65762066,,,Total,33.33
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Area,Rural,2015,Lower Bound,62.97,77824418,,,Total,33.33
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 1,2015,Lower Bound,49.22,60830838,,,Women,14.98
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 2,2015,Lower Bound,6.674,8248375,,,Women,14.98
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 3,2015,Lower Bound,85.47,105632094,,,Women,14.98
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 4,2015,Lower Bound,73.63,90999077,,,Women,14.98
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Men Age Group 1,2015,Lower Bound,33.33,41192438,,,Men,21.52
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Men Age Group 2,2015,Lower Bound,21.52,26596498,,,Men,21.52
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Men Age Group 3,2015,Lower Bound,14.98,18513733,,,Men,21.52
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Men Age Group 4,2015,Lower Bound,5.41,6686201,,,Men,21.52
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Area,Urban Men,2015,Lower Bound,80.48,99464970,,,Men,21.52
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Area,Rural Men,2015,Lower Bound,19.35,23914602,,,Men,21.52
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Area,Urban Women,2015,Lower Bound,83.77,103531070,,,Women,14.98
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Area,Rural Women,2015,Lower Bound,53.21,65762066,,,Women,14.98
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Urban Age Group 1,2015,Lower Bound,62.97,77824418,,,Urban,53.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Rural Age Group 1,2015,Lower Bound,49.22,60830838,,,Rural,62.97
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Urban Age Group 2,2015,Lower Bound,6.674,8248375,,,Urban,53.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Rural Age Group 2,2015,Lower Bound,85.47,105632094,,,Rural,62.97
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Urban Age Group 3,2015,Lower Bound,73.63,90999077,,,Urban,53.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Rural Age Group 3,2015,Lower Bound,33.33,41192438,,,Rural,62.97
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Urban Age Group 4,2015,Lower Bound,21.52,26596498,,,Urban,53.21
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age by Area,Rural Age Group 4,2015,Lower Bound,14.98,18513733,,,Rural,62.97
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Total,Total,2015,Upper Bound,5.41,6686201,,,"",
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex,Men,2015,Upper Bound,80.48,99464970,,,Total,5.41
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex,Women,2015,Upper Bound,19.35,23914602,,,Total,5.41
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 1,2015,Upper Bound,83.77,103531070,,,Total,5.41
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 2,2015,Upper Bound,53.21,65762066,,,Total,5.41
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 3,2015,Upper Bound,62.97,77824418,,,Total,5.41
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Age,Age Group 4,2015,Upper Bound,49.22,60830838,,,Total,5.41
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Area,Urban,2015,Upper Bound,6.674,8248375,,,Total,5.41
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Area,Rural,2015,Upper Bound,85.47,105632094,,,Total,5.41
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 1,2015,Upper Bound,73.63,90999077,,,Women,19.35
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 2,2015,Upper Bound,33.33,41192438,,,Women,19.35
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 3,2015,Upper Bound,21.52,26596498,,,Women,19.35
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Women Age Group 4,2015,Upper Bound,14.98,18513733,,,Women,19.35
Lifestyle Advice and Risk Factors,Percentage who have received lifestyle advice from a health worker to quit using tobacco or do not start,Quit using tobacco or do not start,Sex by Age,Men Age Group 1,2015,Upper Bound,5.41,6686201,,,Men,80.48
