Topic,Indicator,Answer,Demographic Group,Demographic Characteristic,Year,Type of indicator,Metric,Estimated Population,Visualization Filter,Name for optional filter,Table Filter,Group - Answer,Ref_group,National Reference
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men 50-69,2015,Upper Bound,15.6,39561055,,,,Men 50-69 - Ever had cardiovascular event,Men,54.21
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men  18-69,2015,Estimated,6.7,23210141,viz_men_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,,Men  18-69 - Ever had cardiovascular event,Men,82.65
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men  18-69,2015,Lower Bound,5.3,38634132,,,,Men  18-69 - Ever had cardiovascular event,Men,85.6
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Men  18-69,2015,Upper Bound,8,100910969,,,,Men  18-69 - Ever had cardiovascular event,Men,54.21
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women 18-29,2015,Estimated,5.2,100910969,viz_women_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,,Women 18-29 - Ever had cardiovascular event,Women,21.19
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women 18-29,2015,Lower Bound,2.4,122650392,,,,Women 18-29 - Ever had cardiovascular event,Women,54.51
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women 18-29,2015,Upper Bound,8,26188652,,,,Women 18-29 - Ever had cardiovascular event,Women,32.01
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women 30-49,2015,Estimated,7.5,14645376,viz_women_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,,Women 30-49 - Ever had cardiovascular event,Women,21.19
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women 30-49,2015,Lower Bound,5.6,118905625,,,,Women 30-49 - Ever had cardiovascular event,Women,54.51
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women 30-49,2015,Upper Bound,9.4,23210141,,,,Women 30-49 - Ever had cardiovascular event,Women,32.01
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women 50-69,2015,Estimated,12.5,93285486,viz_women_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,,Women 50-69 - Ever had cardiovascular event,Women,21.19
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women 50-69,2015,Lower Bound,9.7,102146866,,,,Women 50-69 - Ever had cardiovascular event,Women,54.51
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women 50-69,2015,Upper Bound,15.3,105792761,,,,Women 50-69 - Ever had cardiovascular event,Women,32.01
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women  18-69,2015,Estimated,8,122650392,viz_women_age,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,,Women  18-69 - Ever had cardiovascular event,Women,21.19
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women  18-69,2015,Lower Bound,6.6,26188652,,,,Women  18-69 - Ever had cardiovascular event,Women,54.51
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Age,Women  18-69,2015,Upper Bound,9.5,67368731,,,,Women  18-69 - Ever had cardiovascular event,Women,32.01
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Men,2015,Estimated,,67368731,viz_sex_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,,Rural Men - Ever had cardiovascular event,Men,82.65
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Men,2015,Lower Bound,,39561055,,,,Rural Men - Ever had cardiovascular event,Men,85.6
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Men,2015,Upper Bound,,93285486,,,,Rural Men - Ever had cardiovascular event,Men,54.21
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Women,2015,Estimated,,66997962,viz_sex_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,,Rural Women - Ever had cardiovascular event,Women,21.19
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Women,2015,Lower Bound,,14645376,,,,Rural Women - Ever had cardiovascular event,Women,54.51
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Rural Women,2015,Upper Bound,,118905625,,,,Rural Women - Ever had cardiovascular event,Women,32.01
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Men,2015,Estimated,,105792761,viz_sex_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,,Urban Men - Ever had cardiovascular event,Men,82.65
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Men,2015,Lower Bound,,66997962,,,,Urban Men - Ever had cardiovascular event,Men,85.6
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Men,2015,Upper Bound,,14645376,,,,Urban Men - Ever had cardiovascular event,Men,54.21
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Women,2015,Estimated,,38634132,viz_sex_area,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,,Urban Women - Ever had cardiovascular event,Women,21.19
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Women,2015,Lower Bound,,100910969,,,,Urban Women - Ever had cardiovascular event,Women,54.51
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Sex by Area,Urban Women,2015,Upper Bound,,122650392,,,,Urban Women - Ever had cardiovascular event,Women,32.01
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Total,Total,2015,Estimated,7.4,118905625,viz_total,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,table_total,1.Total - Ever had cardiovascular event,,
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Total,Total,2015,Lower Bound,6.3,23210141,,,table_total,1.Total - Ever had cardiovascular event,,
Cardiovascular disease and cancer,Percentage who have ever had a heart attack or chest pain from heart disease or a stroke,Ever had cardiovascular event,Total,Total,2015,Upper Bound,8.4,38634132,,,table_total,1.Total - Ever had cardiovascular event,,
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age,18-44,2015,Estimated,22.5,26188652,viz_age,Percentage of respondents by number of combined risk factors,,18-29 - 0 risk factors,Total,99.24
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age,18-44,2015,Lower Bound,19.5,67368731,,,,18-29 - 0 risk factors,Total,21.19
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age,18-44,2015,Upper Bound,25.5,39561055,,,,18-29 - 0 risk factors,Total,54.51
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age,45-69,2015,Estimated,12.8,23210141,viz_age,Percentage of respondents by number of combined risk factors,,30-49 - 0 risk factors,Total,99.24
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age,45-69,2015,Lower Bound,10.6,38634132,,,,30-49 - 0 risk factors,Total,21.19
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age,45-69,2015,Upper Bound,15,100910969,,,,30-49 - 0 risk factors,Total,54.51
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age, 18-69,2015,Estimated,19,67368731,viz_age,Percentage of respondents by number of combined risk factors,, 18-69 - 0 risk factors,Total,99.24
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age, 18-69,2015,Lower Bound,16.9,39561055,,,, 18-69 - 0 risk factors,Total,21.19
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age, 18-69,2015,Upper Bound,21.1,93285486,,,, 18-69 - 0 risk factors,Total,54.51
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Rural 18-44,2015,Estimated,,39561055,viz_age_area,Percentage of respondents by number of combined risk factors,,Rural 18-29 - 0 risk factors,Rural,54.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Rural 18-44,2015,Lower Bound,,93285486,,,,Rural 18-29 - 0 risk factors,Rural,11.85
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Rural 18-44,2015,Upper Bound,,102146866,,,,Rural 18-29 - 0 risk factors,Rural,96.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Rural 45-69,2015,Estimated,,14645376,viz_age_area,Percentage of respondents by number of combined risk factors,,Rural 30-49 - 0 risk factors,Rural,54.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Rural 45-69,2015,Lower Bound,,118905625,,,,Rural 30-49 - 0 risk factors,Rural,11.85
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Rural 45-69,2015,Upper Bound,,23210141,,,,Rural 30-49 - 0 risk factors,Rural,96.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Rural  18-69,2015,Estimated,,102146866,viz_age_area,Percentage of respondents by number of combined risk factors,,Rural  18-69 - 0 risk factors,Rural,54.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Rural  18-69,2015,Lower Bound,,105792761,,,,Rural  18-69 - 0 risk factors,Rural,11.85
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Rural  18-69,2015,Lower Bound,,66997962,,,,Rural  18-69 - 0 risk factors,Rural,11.85
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Urban 18-44,2015,Estimated,,66997962,viz_age_area,Percentage of respondents by number of combined risk factors,,Urban 18-29 - 0 risk factors,Urban,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Urban 18-44,2015,Lower Bound,,14645376,,,,Urban 18-29 - 0 risk factors,Urban,81.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Urban 18-44,2015,Upper Bound,,118905625,,,,Urban 18-29 - 0 risk factors,Urban,99.24
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Urban 45-69,2015,Estimated,,100910969,viz_age_area,Percentage of respondents by number of combined risk factors,,Urban 30-49 - 0 risk factors,Urban,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Urban 45-69,2015,Lower Bound,,122650392,,,,Urban 30-49 - 0 risk factors,Urban,81.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Urban 45-69,2015,Upper Bound,,26188652,,,,Urban 30-49 - 0 risk factors,Urban,99.24
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Urban  18-69,2015,Estimated,,118905625,viz_age_area,Percentage of respondents by number of combined risk factors,,Urban  18-69 - 0 risk factors,Urban,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Urban  18-69,2015,Lower Bound,,23210141,,,,Urban  18-69 - 0 risk factors,Urban,81.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Age by Area,Urban  18-69,2015,Upper Bound,,38634132,,,,Urban  18-69 - 0 risk factors,Urban,99.24
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Area,Rural,2015,Estimated,18.05,66997962,viz_area,Percentage of respondents by number of combined risk factors,,Rural - 0 risk factors,Total,99.24
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Area,Rural,2015,Lower Bound,16.06,14645376,,,,Rural - 0 risk factors,Total,21.19
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Area,Rural,2015,Upper Bound,20.05,118905625,,,,Rural - 0 risk factors,Total,54.51
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Area,Urban,2015,Estimated,19.95,38634132,viz_area,Percentage of respondents by number of combined risk factors,,Urban - 0 risk factors,Total,99.24
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Area,Urban,2015,Lower Bound,17.75,100910969,,,,Urban - 0 risk factors,Total,21.19
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Area,Urban,2015,Upper Bound,22.16,122650392,,,,Urban - 0 risk factors,Total,54.51
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex,Men,2015,Estimated,12.7,118905625,viz_sex,Percentage of respondents by number of combined risk factors,table_total,Men - 0 risk factors,Total,99.24
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex,Men,2015,Lower Bound,10.4,23210141,,,table_total,Men - 0 risk factors,Total,21.19
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex,Men,2015,Upper Bound,15,38634132,,,table_total,Men - 0 risk factors,Total,54.51
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex,Women,2015,Estimated,25.3,102146866,viz_sex,Percentage of respondents by number of combined risk factors,table_total,Women - 0 risk factors,Total,99.24
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex,Women,2015,Lower Bound,22.1,105792761,,,table_total,Women - 0 risk factors,Total,21.19
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex,Women,2015,Upper Bound,28.6,66997962,,,table_total,Women - 0 risk factors,Total,54.51
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Men 18-44,2015,Estimated,15.9,122650392,viz_men_age,Percentage of respondents by number of combined risk factors,,Men 18-29 - 0 risk factors,Men,96.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Men 18-44,2015,Lower Bound,12.6,26188652,,,,Men 18-29 - 0 risk factors,Men,18.78
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Men 18-44,2015,Upper Bound,19.3,67368731,,,,Men 18-29 - 0 risk factors,Men,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Men 45-69,2015,Estimated,6.9,118905625,viz_men_age,Percentage of respondents by number of combined risk factors,,Men 30-49 - 0 risk factors,Men,96.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Men 45-69,2015,Lower Bound,4.6,23210141,,,,Men 30-49 - 0 risk factors,Men,18.78
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Men 45-69,2015,Upper Bound,9.2,38634132,,,,Men 30-49 - 0 risk factors,Men,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Men  18-69,2015,Estimated,12.7,26188652,viz_men_age,Percentage of respondents by number of combined risk factors,,Men  18-69 - 0 risk factors,Men,96.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Men  18-69,2015,Lower Bound,10.4,67368731,,,,Men  18-69 - 0 risk factors,Men,18.78
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Men  18-69,2015,Upper Bound,15,39561055,,,,Men  18-69 - 0 risk factors,Men,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Women 18-44,2015,Estimated,29.3,39561055,viz_women_age,Percentage of respondents by number of combined risk factors,,Women 18-29 - 0 risk factors,Women,82.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Women 18-44,2015,Lower Bound,24.8,93285486,,,,Women 18-29 - 0 risk factors,Women,85.6
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Women 18-44,2015,Upper Bound,33.9,102146866,,,,Women 18-29 - 0 risk factors,Women,54.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Women 45-69,2015,Estimated,18.5,100910969,viz_women_age,Percentage of respondents by number of combined risk factors,,Women 30-49 - 0 risk factors,Women,82.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Women 45-69,2015,Lower Bound,15.3,122650392,,,,Women 30-49 - 0 risk factors,Women,85.6
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Women 45-69,2015,Upper Bound,21.7,26188652,,,,Women 30-49 - 0 risk factors,Women,54.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Women  18-69,2015,Estimated,25.3,93285486,viz_women_age,Percentage of respondents by number of combined risk factors,,Women  18-69 - 0 risk factors,Women,82.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Women  18-69,2015,Lower Bound,22.1,102146866,,,,Women  18-69 - 0 risk factors,Women,85.6
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Age,Women  18-69,2015,Upper Bound,28.6,105792761,,,,Women  18-69 - 0 risk factors,Women,54.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Rural Men,2015,Estimated,,105792761,viz_sex_area,Percentage of respondents by number of combined risk factors,,Rural Men - 0 risk factors,Men,96.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Rural Men,2015,Lower Bound,,66997962,,,,Rural Men - 0 risk factors,Men,18.78
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Rural Men,2015,Upper Bound,,14645376,,,,Rural Men - 0 risk factors,Men,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Rural Women,2015,Estimated,,38634132,viz_sex_area,Percentage of respondents by number of combined risk factors,,Rural Women - 0 risk factors,Women,82.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Rural Women,2015,Lower Bound,,100910969,,,,Rural Women - 0 risk factors,Women,85.6
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Rural Women,2015,Upper Bound,,122650392,,,,Rural Women - 0 risk factors,Women,54.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Urban Men,2015,Estimated,,23210141,viz_sex_area,Percentage of respondents by number of combined risk factors,,Urban Men - 0 risk factors,Men,96.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Urban Men,2015,Lower Bound,,38634132,,,,Urban Men - 0 risk factors,Men,18.78
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Urban Men,2015,Upper Bound,,100910969,,,,Urban Men - 0 risk factors,Men,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Urban Women,2015,Estimated,,67368731,viz_sex_area,Percentage of respondents by number of combined risk factors,,Urban Women - 0 risk factors,Women,82.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Urban Women,2015,Lower Bound,,39561055,,,,Urban Women - 0 risk factors,Women,85.6
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Sex by Area,Urban Women,2015,Upper Bound,,93285486,,,,Urban Women - 0 risk factors,Women,54.21
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Total,Total,2015,Estimated,19,122650392,viz_total,Percentage of respondents by number of combined risk factors,table_total,1.Total - 0 risk factors,,
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Total,Total,2015,Lower Bound,16.9,26188652,,,table_total,1.Total - 0 risk factors,,
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,0 risk factors,Total,Total,2015,Upper Bound,21.1,67368731,,,table_total,1.Total - 0 risk factors,,
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age,18-44,2015,Estimated,69.6,93285486,viz_age,Percentage of respondents by number of combined risk factors,,18-29 - 1-2 risk factors,Total,32.01
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age,18-44,2015,Lower Bound,66.7,102146866,,,,18-29 - 1-2 risk factors,Total,75.48
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age,18-44,2015,Upper Bound,72.6,105792761,,,,18-29 - 1-2 risk factors,Total,82.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age,45-69,2015,Estimated,66,122650392,viz_age,Percentage of respondents by number of combined risk factors,,30-49 - 1-2 risk factors,Total,32.01
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age,45-69,2015,Lower Bound,63.2,26188652,,,,30-49 - 1-2 risk factors,Total,75.48
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age,45-69,2015,Upper Bound,68.8,67368731,,,,30-49 - 1-2 risk factors,Total,82.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age, 18-69,2015,Estimated,68.3,102146866,viz_age,Percentage of respondents by number of combined risk factors,, 18-69 - 1-2 risk factors,Total,32.01
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age, 18-69,2015,Lower Bound,66.1,105792761,,,, 18-69 - 1-2 risk factors,Total,75.48
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age, 18-69,2015,Upper Bound,70.5,66997962,,,, 18-69 - 1-2 risk factors,Total,82.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Rural 18-44,2015,Estimated,,105792761,viz_age_area,Percentage of respondents by number of combined risk factors,,Rural 18-29 - 1-2 risk factors,Rural,18.78
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Rural 18-44,2015,Lower Bound,,66997962,,,,Rural 18-29 - 1-2 risk factors,Rural,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Rural 18-44,2015,Upper Bound,,14645376,,,,Rural 18-29 - 1-2 risk factors,Rural,81.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Rural 45-69,2015,Estimated,,38634132,viz_age_area,Percentage of respondents by number of combined risk factors,,Rural 30-49 - 1-2 risk factors,Rural,18.78
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Rural 45-69,2015,Lower Bound,,100910969,,,,Rural 30-49 - 1-2 risk factors,Rural,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Rural 45-69,2015,Upper Bound,,122650392,,,,Rural 30-49 - 1-2 risk factors,Rural,81.65
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Rural  18-69,2015,Estimated,,14645376,viz_age_area,Percentage of respondents by number of combined risk factors,,Rural  18-69 - 1-2 risk factors,Rural,18.78
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Rural  18-69,2015,Lower Bound,,118905625,,,,Rural  18-69 - 1-2 risk factors,Rural,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Rural  18-69,2015,Lower Bound,,23210141,,,,Rural  18-69 - 1-2 risk factors,Rural,31.26
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Urban 18-44,2015,Estimated,,23210141,viz_age_area,Percentage of respondents by number of combined risk factors,,Urban 18-29 - 1-2 risk factors,Urban,21.19
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Urban 18-44,2015,Lower Bound,,38634132,,,,Urban 18-29 - 1-2 risk factors,Urban,54.51
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Urban 18-44,2015,Upper Bound,,100910969,,,,Urban 18-29 - 1-2 risk factors,Urban,32.01
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Urban 45-69,2015,Estimated,,67368731,viz_age_area,Percentage of respondents by number of combined risk factors,,Urban 30-49 - 1-2 risk factors,Urban,21.19
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Urban 45-69,2015,Lower Bound,,39561055,,,,Urban 30-49 - 1-2 risk factors,Urban,54.51
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Urban 45-69,2015,Upper Bound,,93285486,,,,Urban 30-49 - 1-2 risk factors,Urban,32.01
Lifestyle Advice and Risk Factors,Percentage of respondents by number of combined risk factors,1-2 risk factors,Age by Area,Urban  18-69,2015,Estimated,,100910969,viz_age_area,Percentage of respondents by number of combined risk factors,,Urban  18-69 - 1-2 risk factors,Urban,21.19
